"country","constituency","valid_votes","electorate","turnout_registered"
"England","Aldershot",48544,78553,61.7977671126501
"England","Aldridge-Brownhills",40912,70268,58.2228041213639
"England","Altrincham and Sale West",51452,74025,69.5062478892266
"England","Amber Valley",42531,71546,59.4456713163559
"England","Arundel and South Downs",54740,77969,70.2073901165848
"England","Ashfield",39882,68929,57.8595366246428
"England","Ashford",46975,76233,61.6202956724778
"England","Ashton-under-Lyne",35461,71002,49.943663558773
"England","Aylesbury",49940,79169,63.0802460559057
"England","Banbury",48178,73250,65.7720136518771
"England","Barking",36477,79822,45.6979278895543
"England","Barnsley North",36894,78274,47.1344252242124
"England","Barnsley South",35082,75853,46.2499835207573
"England","Barrow and Furness",42221,74980,56.3096825820219
"England","Basildon and Billericay",42124,76873,54.7968727641695
"England","Basingstoke",48989,78487,62.416705951304
"England","Bassetlaw",44878,78161,57.417382070342
"England","Bath",48130,69662,69.0907524905975
"England","Battersea",47082,72827,64.6490999217323
"England","Beaconsfield",47726,72751,65.6018473972866
"England","Beckenham and Penge",52222,77198,67.6468302287624
"England","Bedford",40659,72478,56.0984022737934
"England","Bermondsey and Old Southwark",37603,69482,54.1190524164532
"England","Bethnal Green and Stepney",46647,81439,57.2784538120557
"England","Beverley and Holderness",44897,71994,62.3621412895519
"England","Bexhill and Battle",47750,72198,66.1375661375661
"England","Bexleyheath and Crayford",43461,70297,61.8248289400686
"England","Bicester and Woodstock",50219,74353,67.5413231476874
"England","Birkenhead",43134,78091,55.2355585150658
"England","Birmingham Edgbaston",37428,71787,52.1375736553972
"England","Birmingham Erdington",34137,77463,44.0687812245846
"England","Birmingham Hall Green and Moseley",41606,76936,54.0787147759176
"England","Birmingham Hodge Hill and Solihull North",34136,77737,43.912165378134
"England","Birmingham Ladywood",36579,83693,43.7061641953329
"England","Birmingham Northfield",37652,74048,50.8480985306828
"England","Birmingham Perry Barr",37476,76350,49.0844793713163
"England","Birmingham Selly Oak",38423,75678,50.7716905837892
"England","Birmingham Yardley",36144,73203,49.3750256137044
"England","Bishop Auckland",40427,70745,57.1446745353028
"England","Blackburn",38887,73263,53.0786345085514
"England","Blackley and Middleton South",31340,72303,43.3453660290721
"England","Blackpool North and Fleetwood",41810,73339,57.0092311048692
"England","Blackpool South",35180,77460,45.416989413891
"England","Blaydon and Consett",42216,70487,59.8918949593542
"England","Blyth and Ashington",40401,76595,52.7462628108884
"England","Bognor Regis and Littlehampton",47827,76854,62.230983423114
"England","Bolsover",42434,77207,54.9613377025399
"England","Bolton North East",43359,80011,54.1912986964292
"England","Bolton South and Walkden",36930,79622,46.3816533118987
"England","Bolton West",44598,74933,59.5171686706791
"England","Bootle",38880,73037,53.2332927146515
